Timestamp,Occurrences_Generated,Occurrences_GroundTruth
2025-01-10 13:32:13.080000,1,1
2025-01-10 13:32:42.973000,2,2
2025-01-14 13:33:27.847000,2,2
2025-01-15 13:33:04.990000,2,2
2025-01-28 21:02:08.660000,1,1
2025-01-29 07:29:57.633000,1,1
2025-01-29 19:01:10.900000,1,2
2025-01-29 19:06:33.150000,1,1
2025-01-30 00:21:41.320000,1,0
2025-01-30 13:33:36.550000,3,1
2025-01-30 14:39:25.787000,0,1
